"Story","Title","Result","Date","Stability","Duration (s)"
"Testing","Авторизация на vk.com, изменение даты рождения, проверка даты рождения на главной странице","SUCCESS","2017-05-04T02:12:34.537+03:00","0.0","12.06"
"Lookup a definition","Авторизация на vk.com, поиск человека по параметрам, используя выпадающие списки, проверка результатов поиска","SUCCESS","2017-05-04T02:12:20.303+03:00","0.0","14.17"
