"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","SUCCESS","2017-04-26T20:21:07.160+03:00","0.0","30.11"
"Lookup a definition","Looking up the definition of 'pear'","SUCCESS","2017-04-26T20:21:37.427+03:00","0.0","17.22"
