"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","ERROR","2017-04-26T13:15:00.207+03:00","0.0","54.37"
"Lookup a definition","Looking up the definition of 'pear'","ERROR","2017-04-26T13:15:54.841+03:00","0.0","46.55"
