"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","PENDING","2017-04-28T12:30:33.373+03:00","0.0","0.07"
"Lookup a definition","Looking up the definition of 'pear'","PENDING","2017-04-28T12:30:33.479+03:00","0.0","0.01"
